;Age;Height;MobileOS;
;23;186;iOS;
;21;207;IOS;
;20;182;Android;
;21;165;IOS;
;22;179;Android;
;24;184;iOS;
;27;179;Android;
;23;167;IOS;
;23;165;iOS;
;18;180;IOS;
;32;165;Android;
;29;183;iOS;
;19;169;iOS;
;21;173;iOS;
;27;197;iOS;
;20;165;IOS;
;28;179;Andriod;
;30;194;Andriod;
;20;181;iOS;
;21;176;Android;
;22;186;iOS;
;22;188;iOS;
;21;183;iOS;
;23;178;iOS;
;22;164;iOS;
;22;170;iOS;
;21;190;IOS;
;25;180;Android;
;21;180;Android;
;21;175;Android;
;26;164;iOS;
;21;186;iOS;
;26;170;Android;
;22;175;Android;
;21;184;IOS;
;187;20;IOS;
;187;19;Android;
;22;201;Android;
;24;195;Android;
;22;183;iOS;
;21;171;Android;
;21;176;iOS;
;22;190;Android;
;23;207;iOS;
;187;20;IOS;
;188;19;Android;
;165;19;Android;
;24;186;Android;
;54;167;iOS;
;63;173;Android;
;23;184;Android;
;20;162;iOS;
;21;173;iOS;
;23;165;iOS;
;30;192;Android;
;52;174;Android;
